,Measurement Taken (MHz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45MHz,,55MHz,,70MHz,,100MHz,,140MHz,,200MHz,,300MHz,,1000MHz,,1200MHz,,1400MHz,,1800MHz,,2400MHz,,3000MHz,,3400MHz,,3600MHz,,4000MHz,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Band 1,,Band 2,,Band 3,,Band 4,,Band 5,,Band 6,,Band 7,,Band 8,,Band 9,,Band 10,,Band 11,,Band 12,,Band 13,,Band 14,,Band 15,,Band 16,,,,,,,,,,
Output in dBm,35 – 49.999,,50 – 61.999,,62 – 74.999,,75 – 129.999,,130 – 157.999,,158 – 229.999,,230 – 334.999,,335 – 1144.999,,1145 – 1379.999,,1380 – 1539.999,,1540 – 2199.999,,2200 – 2629.999,,2630 – 3329.999,,3330 -3579.999,,3580 - 3699.999,,3700 - 4400,,,,,,,,,,
,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,,,,,,,,,
10,3,2,3,2,3,1,3,0,3,1,3,2,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,2,3,1,3,0,,,,,,,,,
9,3,3,3,3,3,2,3,1,3,2,3,3,3,4,3,5,3,5,3,4,3,4,3,4,3,5,3,3,3,2,3,1,,,,,,,,,
8,3,4,3,4,3,3,3,2,3,3,3,4,3,5,3,6,3,6,3,5,3,5,3,5,3,6,3,4,3,3,3,2,,,,,,,,,
7,3,5,3,5,3,4,3,3,3,4,3,5,3,6,3,7,3,7,3,6,3,6,3,6,3,7,3,5,3,4,3,3,,,,,,,,,
6,3,6,3,6,3,5,3,4,3,5,3,6,3,7,3,8,3,8,3,7,3,7,3,7,3,8,3,6,3,5,3,4,,,,,,,,,
5,3,7,3,7,3,6,3,5,3,6,3,7,3,8,3,9,3,9,3,8,3,8,3,8,3,9,3,7,3,6,3,5,,,,,,,,,
4,3,8,3,8,3,7,3,6,3,7,3,8,3,9,3,10,3,10,3,9,3,9,3,9,3,10,3,8,3,7,3,6,,,,,,,,,
3,3,9,3,9,3,8,3,7,3,8,3,9,3,10,3,11,3,11,3,10,3,10,3,10,3,11,3,9,3,8,3,7,,,,,,,,,
2,3,10,3,10,3,9,3,8,3,9,3,10,3,11,3,12,3,12,3,11,3,11,3,11,3,12,3,10,3,9,3,8,,,,,,,,,
1,3,11,3,11,3,10,3,9,3,10,3,11,3,12,3,13,3,13,3,12,3,12,3,12,3,13,3,11,3,10,3,9,,,,,,,,,
0,3,12,3,12,3,11,3,10,3,11,3,12,3,13,3,14,3,14,3,13,3,13,3,13,3,14,3,12,3,11,3,10,,,,,,,,,
-1,0,5,0,4,0,2,0,2,0,3,0,5,0,5,0,7,0,7,0,6,0,7,0,7,0,8,0,7,0,6,0,4,,,,,,,,,
-2,0,6,0,5,0,3,0,3,0,4,0,6,0,6,0,8,0,8,0,7,0,8,0,8,0,9,0,8,0,7,0,5,,,,,,,,,
-3,0,7,0,6,0,4,0,4,0,5,0,7,0,7,0,9,0,9,0,8,0,9,0,9,0,10,0,9,0,8,0,6,,,,,,,,,
-4,0,8,0,7,0,5,0,5,0,6,0,8,0,8,0,10,0,10,0,9,0,10,0,10,0,11,0,10,0,9,0,7,,,,,,,,,
-5,0,9,0,8,0,6,0,6,0,7,0,9,0,9,0,11,0,11,0,10,0,11,0,11,0,12,0,11,0,10,0,8,,,,,,,,,
-6,0,10,0,9,0,7,0,7,0,8,0,10,0,10,0,12,0,12,0,11,0,12,0,12,0,13,0,12,0,11,0,9,,,,,,,,,
-7,0,11,0,10,0,8,0,8,0,9,0,11,0,11,0,13,0,13,0,12,0,13,0,13,0,14,0,13,0,12,0,10,,,,,,,,,
-8,0,12,0,11,0,9,0,9,0,10,0,12,0,12,0,14,0,14,0,13,0,14,0,14,0,15,0,14,0,13,0,11,,,,,,,,,
-9,0,13,0,12,0,10,0,10,0,11,0,13,0,13,0,15,0,15,0,14,0,15,0,15,0,16,0,15,0,14,0,12,,,,,,,,,
-10,0,14,0,13,0,11,0,11,0,12,0,14,0,14,0,16,0,16,0,15,0,16,0,16,0,17,0,16,0,15,0,13,,,,,,,,,
-11,0,15,0,14,0,12,0,12,0,13,0,15,0,15,0,17,0,17,0,16,0,17,0,17,0,18,0,17,0,16,0,14,,,,,,,,,
-12,0,16,0,15,0,13,0,13,0,14,0,16,0,16,0,18,0,18,0,17,0,18,0,18,0,19,0,18,0,17,0,15,,,,,,,,,
-13,0,17,0,16,0,14,0,14,0,15,0,17,0,17,0,19,0,19,0,18,0,19,0,19,0,20,0,19,0,18,0,16,,,,,,,,,
-14,0,18,0,17,0,15,0,15,0,16,0,18,0,18,0,20,0,20,0,19,0,20,0,20,0,21,0,20,0,19,0,17,,,,,,,,,
-15,0,19,0,18,0,16,0,16,0,17,0,19,0,19,0,21,0,21,0,20,0,21,0,21,0,22,0,21,0,20,0,18,,,,,,,,,
-16,0,20,0,19,0,17,0,17,0,18,0,20,0,20,0,22,0,22,0,21,0,22,0,22,0,23,0,22,0,21,0,19,,,,,,,,,
-17,0,21,0,20,0,18,0,18,0,19,0,21,0,21,0,23,0,23,0,22,0,23,0,23,0,24,0,23,0,22,0,20,,,,,,,,,
-18,0,22,0,21,0,19,0,19,0,20,0,22,0,22,0,24,0,24,0,23,0,24,0,24,0,25,0,24,0,23,0,21,,,,,,,,,
-19,0,23,0,22,0,20,0,20,0,21,0,23,0,23,0,25,0,25,0,24,0,25,0,25,0,26,0,25,0,24,0,22,,,,,,,,,
-20,0,24,0,23,0,22,0,21,0,22,0,24,0,24,0,26,0,26,0,25,0,26,0,26,0,27,0,26,0,25,0,23,,,,,,,,,
-21,0,25,0,24,0,23,0,22,0,23,0,25,0,25,0,27,0,27,0,26,0,27,0,27,0,28,0,27,0,26,0,24,,,,,,,,,
-22,0,26,0,25,0,24,0,23,0,24,0,26,0,26,0,28,0,28,0,27,0,28,0,28,0,29,0,28,0,27,0,25,,,,,,,,,
-23,0,27,0,26,0,25,0,24,0,25,0,27,0,27,0,29,0,29,0,28,0,29,0,29,0,30,0,29,0,28,0,26,,,,,,,,,
-24,0,28,0,27,0,26,0,25,0,26,0,28,0,28,0,30,0,30,0,29,0,30,0,30,0,31,0,30,0,29,0,27,,,,,,,,,
-25,0,29,0,28,0,27,0,26,0,27,0,29,0,29,0,31,0,31,0,30,0,31,0,31,0,32,0,31,0,30,0,28,,,,,,,,,
-26,0,30,0,29,0,28,0,27,0,28,0,30,0,30,0,32,0,32,0,31,0,32,0,32,0,33,0,32,0,31,0,29,,,,,,,,,
-27,0,31,0,30,0,29,0,28,0,29,0,31,0,31,0,33,0,33,0,32,0,33,0,33,0,34,0,33,0,32,0,30,,,,,,,,,
-28,0,32,0,31,0,30,0,29,0,30,0,32,0,32,0,34,0,34,0,33,0,34,0,34,0,35,0,34,0,33,0,31,,,,,,,,,
-29,0,33,0,32,0,31,0,30,0,31,0,33,0,33,0,35,0,35,0,34,0,35,0,35,0,36,0,35,0,34,0,32,,,,,,,,,
-30,0,34,0,33,0,32,0,31,0,32,0,34,0,34,0,36,0,36,0,35,0,36,0,36,0,37,0,36,0,35,0,33,,,,,,,,,
-31,0,35,0,34,0,33,0,32,0,33,0,35,0,35,0,37,0,37,0,36,0,37,0,37,0,38,0,37,0,36,0,34,,,,,,,,,
-32,0,36,0,35,0,34,0,33,0,34,0,36,0,36,0,38,0,38,0,37,0,38,0,38,0,39,0,38,0,37,0,35,,,,,,,,,
-33,0,37,0,36,0,35,0,34,0,35,0,37,0,37,0,39,0,39,0,38,0,39,0,39,0,40,0,39,0,38,0,36,,,,,,,,,
-34,0,38,0,37,0,36,0,35,0,36,0,38,0,38,0,40,0,40,0,39,0,40,0,40,0,41,0,40,0,39,0,37,,,,,,,,,
-35,0,39,0,38,0,37,0,36,0,37,0,39,0,39,0,41,0,41,0,40,0,41,0,41,0,42,0,41,0,40,0,38,,,,,,,,,
-36,0,40,0,39,0,38,0,37,0,38,0,40,0,40,0,42,0,42,0,41,0,42,0,42,0,43,0,42,0,41,0,39,,,,,,,,,
-37,0,41,0,40,0,39,0,38,0,39,0,41,0,41,0,43,0,43,0,42,0,43,0,43,0,44,0,43,0,42,0,40,,,,,,,,,
-38,0,42,0,41,0,40,0,39,0,40,0,42,0,42,0,44,0,44,0,43,0,44,0,44,0,45,0,44,0,43,0,41,,,,,,,,,
-39,0,43,0,42,0,41,0,40,0,41,0,43,0,43,0,45,0,45,0,44,0,45,0,45,0,46,0,45,0,44,0,42,,,,,,,,,
-40,0,44,0,43,0,42,0,41,0,42,0,44,0,44,0,46,0,46,0,45,0,46,0,46,0,47,0,46,0,45,0,43,,,,,,,,,
-41,0,45,0,44,0,43,0,42,0,43,0,45,0,45,0,47,0,47,0,46,0,47,0,47,0,48,0,47,0,46,0,44,,,,,,,,,
-42,0,46,0,45,0,44,0,43,0,44,0,46,0,46,0,48,0,48,0,47,0,48,0,48,0,49,0,48,0,47,0,45,,,,,,,,,
-43,0,47,0,46,0,45,0,44,0,45,0,47,0,47,0,49,0,49,0,48,0,49,0,49,0,50,0,49,0,48,0,46,,,,,,,,,
-44,0,48,0,47,0,46,0,45,0,46,0,48,0,48,0,50,0,50,0,49,0,50,0,50,0,51,0,50,0,49,0,47,,,,,,,,,
-45,0,49,0,48,0,47,0,46,0,47,0,49,0,49,0,51,0,51,0,50,0,51,0,51,0,52,0,51,0,50,0,48,,,,,,,,,
-46,0,50,0,49,0,48,0,47,0,48,0,50,0,50,0,52,0,52,0,51,0,52,0,52,0,53,0,52,0,51,0,49,,,,,,,,,
-47,0,51,0,50,0,49,0,48,0,49,0,51,0,51,0,53,0,53,0,52,0,53,0,53,0,54,0,53,0,52,0,50,,,,,,,,,
-48,0,52,0,51,0,50,0,49,0,50,0,52,0,52,0,54,0,54,0,53,0,54,0,54,0,55,0,54,0,53,0,51,,,,,,,,,
-49,0,53,0,52,0,51,0,50,0,51,0,53,0,53,0,55,0,55,0,54,0,55,0,55,0,56,0,55,0,54,0,52,,,,,,,,,
-50,0,54,0,53,0,52,0,51,0,52,0,54,0,54,0,56,0,56,0,55,0,56,0,56,0,57,0,56,0,55,0,53,,,,,,,,,
-51,0,55,0,54,0,53,0,52,0,53,0,55,0,55,0,57,0,57,0,56,0,57,0,57,0,58,0,57,0,56,0,54,,,,,,,,,
-52,0,56,0,55,0,54,0,53,0,54,0,56,0,56,0,58,0,58,0,57,0,58,0,58,0,59,0,58,0,57,0,55,,,,,,,,,
-53,0,57,0,56,0,55,0,54,0,55,0,57,0,57,0,59,0,59,0,58,0,59,0,59,0,60,0,59,0,58,0,56,,,,,,,,,
-54,0,58,0,57,0,56,0,55,0,56,0,58,0,58,0,60,0,60,0,59,0,60,0,60,0,61,0,60,0,59,0,57,,,,,,,,,
-55,0,59,0,58,0,57,0,56,0,57,0,59,0,59,0,61,0,61,0,60,0,61,0,61,0,62,0,61,0,60,0,58,,,,,,,,,
Revision,rev4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SAME AS First set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
